overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style,tags
5.0,True,"10 20, 2014",A1D4G1SNUZWQOT,7106116521,Tracy,Exactly what I needed.,perfect replacements!!,1413763200,,,"['Exactly', 'what', 'I', 'needed.']"
2.0,True,"09 28, 2014",A3DDWDH9PX2YX2,7106116521,Sonja Lau,"I agree with the other review, the opening is too small.  I almost bent the hook on some very expensive earrings trying to get these up higher than just the end so they're not seen.  Would not buy again but for the price, not sending back.","I agree with the other review, the opening is ...",1411862400,3,,"['small opening', 'expensive earrings', 'difficult to put on', 'not visible when worn', 'price']"
4.0,False,"08 25, 2014",A2MWC41EW7XL15,7106116521,Kathleen,Love these... I am going to order another pack to keep in work; someone (including myself) is always losing the back to an earring.  I don't understand why all fish hook earrings don't have them.  Just wish that they were a tiny bit longer.  :),My New 'Friends' !!,1408924800,,,"['earring back', 'online shopping', 'jewelry', 'fish hook earrings', 'work accessories']"
2.0,True,"08 24, 2014",A2UH2QQ275NV45,7106116521,Jodi Stoner,too tiny an opening,Two Stars,1408838400,,,"['too tiny', 'tiny opening', 'small opening', 'small size', 'tight fit']"
3.0,False,"07 27, 2014",A89F3LQADZBS5,7106116521,Alexander D.,Okay,Three Stars,1406419200,,,"['online shopping', 'mall', 'tags', 'review']"
5.0,True,"07 19, 2014",A29HLOUW0NS0EH,7106116521,Patricia R. Erwin,Exactly what I wanted.,Five Stars,1405728000,,,['Exactly what I wanted']
4.0,True,"05 31, 2014",A7QS961ROI6E0,7106116521,REBECCA S LAYTON,"These little plastic backs work great.  No more loosing ""hook"" earrings!  Wish I had ordered these sooner before I had lost some of my favorite earrings!",Works great!,1401494400,,,"['plastic backs', 'hook earrings', 'losing earrings', 'ordering sooner', 'favorite earrings']"
3.0,True,"09 22, 2013",A1BB77SEBQT8VX,B00007GDFV,Darrow H Ankrum II,mother - in - law wanted it as a present for her sister. she liked it and said it would work.,bought as a present,1379808000,,{'Color:': ' Black'},"['present', 'sister', 'liked', 'work']"
3.0,True,"07 17, 2013",AHWOW7D1ABO9C,B00007GDFV,rosieO,"Item is of good quality. Looks great, too. But it does not fit 100's! But it can be stretched to fit them if you carefully push bottom of case with your fingers. Then shove in a pack of 100's(max) and level it out as you close case stretching case closed. Leave a pk.in it for month or so & was la! Buxton is usually a good quality product!",Buxton heiress collection,1374019200,,{'Color:': ' Black'},"['good quality', 'looks great', 'does not fit', 'stretchable', 'Buxton product']"
3.0,True,"04 13, 2013",AKS3GULZE0HFC,B00007GDFV,M. Waltman,"I had used my last el-cheapo fake leather cigarette case for SEVEN YEARS. It still closed completely but the plastic made to look like leather was literally falling off, so it was time for a new one. Cigarette cases for kings size cigs are not easy to come by these days I discovered, but I was thrilled to find this one on Amazon. It was a great price, REAL LEATHER, and even had the cool zipper pouch on the back. I was so excited to get my case and toss that other one! Well, within THREE DAYS one of the gold clasps literally broke off! I couldn't believe it! I tried to super glue it back on and was not successful. so, I still use the case but it doesn't close securely. I was very disappointed that my $3.00 plastic one lasted 7 years and this real nice leather one lasted 3 days!! But I still love the zipper pouch on the back, it's great for the spare key to my car because I will not go ANYWHERE without my cigarettes!",Top Clasp Broke Within 3 days!,1365811200,,{'Color:': ' Black'},"['cigarette case', 'real leather', 'zipper pouch', 'gold clasp', 'disappointed']"
4.0,True,"03 9, 2013",A38NS6NF6WPXS,B00007GDFV,BTDoxies,This brand has been around a long time and you can count on good quality merchandise.  Held up well with no rips or stitching problems!,BUXTON QUALITY!,1362787200,,{'Color:': ' Black'},"['good quality', 'long-lasting', 'reliable brand', 'durable', 'no stitching issues']"
2.0,True,"01 27, 2013",A1KOKO3HTSAI1H,B00007GDFV,Robin Howard,I smoke 100's and these are NOT made for them.  I can get my cigarettes in it but it won't close. I was very disappointed.,Buxton Heiress Collection Black Leather Cigarette case,1359244800,,{'Color:': ' Black'},"['cigarette case', 'not suitable for 100's', 'disappointed', 'smoke accessories']"
1.0,True,"01 4, 2013",A1G3S57JGZNPCL,B00007GDFV,kimberly a schotthoefer,"cheap and cheesy, but i guess i could have expected that for the price, won't purchase another without seeing first",inexpensive case,1357257600,,{'Color:': ' Black'},"['cheap', 'cheesy', 'price', 'purchase', 'seeing first']"
1.0,True,"07 30, 2012",AGBL3TTP6GV4X,B00007GDFV,gallina,"I ordered a ladies cigarette case for my wife, and a pack of Marlboro 100's would not fit in the case!!!!  I was ripped off!!!  A cigarette case should be able to hold any cigarette pack!!!!  I will not do business with Silverhooks again!!!!

It's not even worth the postage to send it back!!!!

Dissatisfied big time!!!!",i was ripped off!!!!,1343606400,,{'Color:': ' Black'},"['online shopping', 'cigarette case', 'Marlboro 100', 'ripped off', 'dissatisfied']"
